Image,Label,Value
1.jpg,infix,7
2.jpg,postfix,0
3.jpg,infix,21
4.jpg,infix,5
5.jpg,prefix,12
6.jpg,prefix,4
7.jpg,infix,1
8.jpg,infix,-4
9.jpg,postfix,6
10.jpg,infix,16
11.jpg,prefix,2
12.jpg,prefix,-8
13.jpg,infix,7
14.jpg,infix,9
15.jpg,prefix,12
16.jpg,prefix,8
17.jpg,infix,6
18.jpg,infix,0
19.jpg,prefix,0
20.jpg,infix,-5
21.jpg,prefix,24
22.jpg,infix,54
23.jpg,postfix,8
24.jpg,postfix,-7
25.jpg,prefix,-1
26.jpg,postfix,63
27.jpg,infix,13
28.jpg,prefix,0
29.jpg,prefix,2
30.jpg,postfix,4
31.jpg,infix,0
32.jpg,infix,7
33.jpg,infix,9
34.jpg,infix,-1
35.jpg,postfix,5
36.jpg,prefix,12
37.jpg,prefix,20
38.jpg,postfix,4
39.jpg,infix,40
40.jpg,postfix,2
41.jpg,prefix,7
42.jpg,infix,2
43.jpg,infix,18
44.jpg,postfix,4
45.jpg,prefix,1
46.jpg,postfix,12
47.jpg,infix,10
48.jpg,prefix,-1
49.jpg,infix,5
50.jpg,postfix,-1
51.jpg,infix,48
52.jpg,infix,5
53.jpg,infix,5
54.jpg,infix,7
55.jpg,infix,17
56.jpg,infix,3
57.jpg,prefix,0
58.jpg,prefix,13
59.jpg,infix,-2
60.jpg,postfix,-2
61.jpg,prefix,4
62.jpg,prefix,2
63.jpg,prefix,63
64.jpg,infix,2
65.jpg,prefix,0
66.jpg,prefix,4
67.jpg,infix,0
68.jpg,postfix,1
69.jpg,prefix,11
70.jpg,infix,2
71.jpg,postfix,-2
72.jpg,postfix,4
73.jpg,postfix,5
74.jpg,postfix,3
75.jpg,postfix,13
76.jpg,postfix,12
77.jpg,prefix,-8
78.jpg,prefix,-5
79.jpg,prefix,9
80.jpg,prefix,25
81.jpg,postfix,12
82.jpg,postfix,-1
83.jpg,infix,2
84.jpg,infix,-2
85.jpg,infix,8
86.jpg,infix,1
87.jpg,prefix,5
88.jpg,prefix,2
89.jpg,prefix,5
90.jpg,prefix,-2
91.jpg,postfix,1
92.jpg,prefix,3
93.jpg,infix,12
94.jpg,postfix,81
95.jpg,postfix,2
96.jpg,postfix,0
97.jpg,postfix,24
98.jpg,postfix,9
99.jpg,infix,1
100.jpg,infix,2
101.jpg,postfix,6
102.jpg,infix,5
103.jpg,prefix,0
104.jpg,postfix,9
105.jpg,postfix,20
106.jpg,postfix,-2
107.jpg,infix,11
108.jpg,postfix,0
109.jpg,infix,-3
110.jpg,postfix,-2
111.jpg,postfix,5
112.jpg,postfix,2
113.jpg,infix,0
114.jpg,infix,0
115.jpg,prefix,13
116.jpg,prefix,9
117.jpg,infix,18
118.jpg,prefix,7
119.jpg,prefix,1
120.jpg,postfix,12
121.jpg,infix,9
122.jpg,postfix,18
123.jpg,infix,3
124.jpg,infix,45
125.jpg,prefix,9
126.jpg,infix,9
127.jpg,infix,-4
128.jpg,postfix,1
129.jpg,postfix,5
130.jpg,prefix,0
131.jpg,prefix,36
132.jpg,postfix,1
133.jpg,infix,8
134.jpg,infix,6
135.jpg,infix,2
136.jpg,postfix,72
137.jpg,prefix,5
138.jpg,infix,0
139.jpg,postfix,1
140.jpg,postfix,56
141.jpg,prefix,13
142.jpg,infix,-2
143.jpg,prefix,7
144.jpg,postfix,9
145.jpg,infix,8
146.jpg,prefix,-2
147.jpg,infix,0
148.jpg,prefix,8
149.jpg,postfix,6
150.jpg,infix,16
151.jpg,postfix,-4
152.jpg,infix,9
153.jpg,postfix,35
154.jpg,postfix,0
155.jpg,postfix,-3
156.jpg,postfix,10
157.jpg,prefix,2
158.jpg,infix,0
159.jpg,infix,10
160.jpg,prefix,28
161.jpg,infix,16
162.jpg,prefix,5
163.jpg,infix,2
164.jpg,prefix,0
165.jpg,prefix,-6
166.jpg,prefix,11
167.jpg,postfix,-2
168.jpg,postfix,14
169.jpg,infix,0
170.jpg,prefix,-3
171.jpg,infix,4
172.jpg,infix,42
173.jpg,infix,9
174.jpg,postfix,3
175.jpg,prefix,0
176.jpg,infix,13
177.jpg,prefix,3
178.jpg,infix,0
179.jpg,postfix,3
180.jpg,infix,-1
181.jpg,prefix,3
182.jpg,prefix,15
183.jpg,postfix,2
184.jpg,postfix,8
185.jpg,infix,2
186.jpg,prefix,8
187.jpg,prefix,72
188.jpg,infix,25
189.jpg,prefix,1
190.jpg,prefix,1
191.jpg,infix,12
192.jpg,postfix,7
193.jpg,prefix,8
194.jpg,infix,6
195.jpg,infix,14
196.jpg,infix,9
197.jpg,prefix,-6
198.jpg,infix,45
199.jpg,postfix,-2
200.jpg,postfix,27
201.jpg,prefix,8
202.jpg,prefix,56
203.jpg,infix,48
204.jpg,postfix,3
205.jpg,prefix,2
206.jpg,infix,48
207.jpg,prefix,17
208.jpg,prefix,0
209.jpg,infix,10
210.jpg,prefix,4
211.jpg,infix,5
212.jpg,infix,8
213.jpg,postfix,6
214.jpg,infix,40
215.jpg,postfix,8
216.jpg,infix,0
217.jpg,postfix,9
218.jpg,infix,16
219.jpg,postfix,10
220.jpg,postfix,-2
221.jpg,prefix,14
222.jpg,prefix,0
223.jpg,prefix,0
224.jpg,prefix,4
225.jpg,infix,8
226.jpg,prefix,15
227.jpg,infix,10
228.jpg,postfix,0
229.jpg,infix,64
230.jpg,prefix,11
231.jpg,postfix,13
232.jpg,prefix,-5
233.jpg,prefix,12
234.jpg,prefix,2
235.jpg,infix,6
236.jpg,prefix,7
237.jpg,prefix,9
238.jpg,infix,14
239.jpg,postfix,18
240.jpg,infix,3
241.jpg,postfix,8
242.jpg,infix,7
243.jpg,infix,3
244.jpg,infix,9
245.jpg,postfix,2
246.jpg,postfix,6
247.jpg,postfix,-3
248.jpg,infix,3
249.jpg,postfix,5
250.jpg,prefix,-3
251.jpg,infix,4
252.jpg,prefix,36
253.jpg,infix,24
254.jpg,prefix,2
255.jpg,prefix,15
256.jpg,prefix,11
257.jpg,infix,11
258.jpg,prefix,6
259.jpg,prefix,7
260.jpg,postfix,0
261.jpg,postfix,-4
262.jpg,postfix,9
263.jpg,prefix,12
264.jpg,infix,0
265.jpg,infix,0
266.jpg,prefix,9
267.jpg,infix,3
268.jpg,infix,7
269.jpg,prefix,0
270.jpg,prefix,5
271.jpg,postfix,0
272.jpg,postfix,30
273.jpg,prefix,6
274.jpg,postfix,4
275.jpg,infix,6
276.jpg,infix,7
277.jpg,infix,1
278.jpg,postfix,1
279.jpg,infix,6
280.jpg,infix,48
281.jpg,infix,0
282.jpg,prefix,0
283.jpg,postfix,11
284.jpg,postfix,72
285.jpg,postfix,48
286.jpg,infix,10
287.jpg,prefix,5
